resultId,raceId,driverId,constructorId,grid,position,points,laps,time_x,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name_x,race_date,time_y,url_x,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,circuitRef,name_y,location,country,lat,lng,alt,url_y,team,GP_name,nationality,driverRef,code,driver_forename,driver_surname,driver_dob,nationality_driver,qualifyId,number_qualifying,position_qualifying,q1,q2,q3,driver_name,age_at_gp_in_days,constructor_clean,driver_nat,country_clean,driver_home,constructor_country,constructor_home,driver_dnf,constructor_dnf,age_years,abandoned
22922,956,813,149,15,17.0,0.0,54,,46.0,11.0,1:45.715,189.134,15,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,renault,Renault,French,jolyon_palmer,PAL,Jolyon,Palmer,1991-01-20,British,7113.0,30.0,15.0,1:41.775,1:41.820,,Jolyon Palmer,9443,renault,FRA,UAE,0,,0,1,1,25,0
22923,956,809,186,21,,0.0,41,,30.0,18.0,1:46.591,187.58,128,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,toro_rosso,Toro Rosso,Italian,sainz,SAI,Carlos,Sainz,1994-09-01,Spanish,7119.0,55.0,21.0,1:42.393,,,Carlos Sainz,8123,toro_rosso,ITA,UAE,0,,0,1,1,22,1
22924,956,804,186,17,,0.0,14,,13.0,21.0,1:48.752,183.853,13,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,toro_rosso,Toro Rosso,Italian,kvyat,KVY,Daniil,Kvyat,1994-04-26,Russian,7115.0,26.0,17.0,1:42.003,,,Daniil Kvyat,8251,toro_rosso,ITA,UAE,0,,0,1,1,22,1
22925,956,738,114,12,,0.0,12,,4.0,22.0,1:48.753,183.851,30,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,mclaren,McLaren,British,button,BUT,Jenson,Button,1980-01-19,British,7110.0,22.0,12.0,1:41.158,1:41.272,,Jenson Button,13462,mclaren,GBR,UAE,0,,0,1,1,36,1
22926,956,799,137,11,,0.0,6,,4.0,19.0,1:47.837,185.413,30,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,williams,Williams,British,bottas,BOT,Valtteri,Bottas,1989-08-28,Finnish,7109.0,77.0,11.0,1:41.192,1:41.084,,Valtteri Bottas,9953,williams,GBR,UAE,0,,0,1,1,27,1
22927,956,803,149,18,,0.0,5,,4.0,20.0,1:48.601,184.108,30,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,renault,Renault,French,kevin_magnussen,MAG,Kevin,Magnussen,1992-10-05,Danish,7116.0,20.0,18.0,1:42.142,,,Kevin Magnussen,8819,renault,FRA,UAE,0,,0,1,1,24,1
22928,957,777,6,2,1.0,25.0,57,1:24:11.672,53.0,3.0,1:26.638,220.351,1,2017,1,59,Australian Grand Prix,2017-03-26,05:00:00Z,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix,,,,,,,,,,,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,ferrari,Ferrari,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,7122.0,5.0,2.0,1:25.210,1:23.401,1:22.456,Sebastian Vettel,10859,ferrari,ITA,AUS,0,,0,0,0,29,0
22929,957,774,45,1,2.0,18.0,57,+9.975,44.0,6.0,1:27.033,219.351,1,2017,1,59,Australian Grand Prix,2017-03-26,05:00:00Z,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix,,,,,,,,,,,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,mercedes,Mercedes,German,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,7121.0,44.0,1.0,1:24.191,1:23.251,1:22.188,Lewis Hamilton,11766,mercedes,GER,AUS,0,,0,0,0,32,0
22930,957,799,45,3,3.0,15.0,57,+11.250,56.0,2.0,1:26.593,220.465,1,2017,1,59,Australian Grand Prix,2017-03-26,05:00:00Z,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix,,,,,,,,,,,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,mercedes,Mercedes,German,bottas,BOT,Valtteri,Bottas,1989-08-28,Finnish,7123.0,77.0,3.0,1:24.514,1:23.215,1:22.481,Valtteri Bottas,10072,mercedes,GER,AUS,0,,0,0,0,27,0
22931,957,741,6,4,4.0,12.0,57,+22.393,56.0,1.0,1:26.538,220.605,1,2017,1,59,Australian Grand Prix,2017-03-26,05:00:00Z,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix,,,,,,,,,,,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,7124.0,7.0,4.0,1:24.352,1:23.376,1:23.033,Kimi Räikkönen,13675,ferrari,ITA,AUS,0,,0,0,0,37,0
